-- Configuring done (3.9s)
-- Generating done (2.1s)
-- Build files have been written to: /workspace/EpithelialRheology/build
[100%] Built target chaste_project_EpithelialRheology
[ 40%] Built target chaste_project_EpithelialRheology
[100%] Built target TestAdhesion
=== BUILD DONE, STARTING TestAdhesion ===
Running 30 tests
Changing directory from '/workspace/EpithelialRheology/build/' to '/home/conda/build_artifacts/chaste_1736320297758/work/'.
CWD now: /home/conda/build_artifacts/chaste_1736320297758/work


 ***** TestAdhesion.hpp *****


Entering TestLineTension_0p00_rep1
Starting simulation: LineTension_0.00_rep1
lineTension = 0
Target area: 60 units^2
Initial cell count: 6
t=31 h | cells=12 | area=11.5706/60 | coverage=19.2843%
t=32 h | cells=12 | area=11.5737/60 | coverage=19.2895%
t=33 h | cells=12 | area=11.5767/60 | coverage=19.2944%
t=34 h | cells=14 | area=11.5647/60 | coverage=19.2745%
t=35 h | cells=14 | area=11.7434/60 | coverage=19.5724%
t=36 h | cells=14 | area=11.948/60 | coverage=19.9133%
t=37 h | cells=16 | area=12.2141/60 | coverage=20.3568%
t=38 h | cells=18 | area=12.6009/60 | coverage=21.0016%
t=39 h | cells=22 | area=13.2083/60 | coverage=22.0138%
t=40 h | cells=23 | area=14.1825/60 | coverage=23.6375%
t=41 h | cells=23 | area=15.2714/60 | coverage=25.4524%
t=42 h | cells=23 | area=16.3734/60 | coverage=27.289%
t=43 h | cells=23 | area=17.4747/60 | coverage=29.1244%
t=44 h | cells=23 | area=18.5306/60 | coverage=30.8843%
t=45 h | cells=23 | area=19.424/60 | coverage=32.3734%
t=46 h | cells=23 | area=20.3054/60 | coverage=33.8424%
t=47 h | cells=23 | area=21.0255/60 | coverage=35.0425%
t=48 h | cells=23 | area=21.6394/60 | coverage=36.0657%
t=49 h | cells=23 | area=21.9714/60 | coverage=36.619%
t=50 h | cells=23 | area=22.1224/60 | coverage=36.8707%
t=51 h | cells=23 | area=22.1428/60 | coverage=36.9047%
t=52 h | cells=23 | area=22.1549/60 | coverage=36.9249%
t=53 h | cells=23 | area=22.1658/60 | coverage=36.943%
t=54 h | cells=23 | area=22.1752/60 | coverage=36.9587%
t=55 h | cells=23 | area=22.1832/60 | coverage=36.9719%
t=56 h | cells=23 | area=22.19/60 | coverage=36.9833%
t=57 h | cells=23 | area=22.1946/60 | coverage=36.9911%
t=58 h | cells=26 | area=22.2006/60 | coverage=37.0011%
t=59 h | cells=26 | area=22.4302/60 | coverage=37.3836%
t=60 h | cells=26 | area=22.7091/60 | coverage=37.8486%
t=61 h | cells=30 | area=23.0594/60 | coverage=38.4323%
t=62 h | cells=34 | area=23.6704/60 | coverage=39.4507%
t=63 h | cells=40 | area=24.5211/60 | coverage=40.8686%
t=64 h | cells=42 | area=25.675/60 | coverage=42.7916%
t=65 h | cells=42 | area=26.8765/60 | coverage=44.7942%
t=66 h | cells=42 | area=28.0402/60 | coverage=46.7337%
t=67 h | cells=42 | area=29.1137/60 | coverage=48.5228%
t=68 h | cells=42 | area=30.2495/60 | coverage=50.4159%
t=69 h | cells=42 | area=31.3527/60 | coverage=52.2546%
t=70 h | cells=42 | area=32.4501/60 | coverage=54.0836%
t=71 h | cells=42 | area=33.4024/60 | coverage=55.6706%
t=72 h | cells=42 | area=34.2606/60 | coverage=57.1009%
t=73 h | cells=42 | area=35.0882/60 | coverage=58.4804%
t=74 h | cells=42 | area=35.791/60 | coverage=59.6517%
t=75 h | cells=42 | area=36.3533/60 | coverage=60.5888%
t=76 h | cells=42 | area=36.8443/60 | coverage=61.4072%
t=77 h | cells=42 | area=37.279/60 | coverage=62.1316%
t=78 h | cells=42 | area=37.6632/60 | coverage=62.7719%
t=79 h | cells=42 | area=38.0052/60 | coverage=63.3421%
t=80 h | cells=42 | area=38.3097/60 | coverage=63.8495%
t=81 h | cells=42 | area=38.5821/60 | coverage=64.3035%
t=82 h | cells=46 | area=38.8188/60 | coverage=64.698%
t=83 h | cells=46 | area=39.0194/60 | coverage=65.0324%
t=84 h | cells=46 | area=39.2098/60 | coverage=65.3497%
t=85 h | cells=53 | area=39.5177/60 | coverage=65.8628%
t=86 h | cells=58 | area=40.2157/60 | coverage=67.0261%
t=87 h | cells=67 | area=40.9173/60 | coverage=68.1954%
t=88 h | cells=70 | area=41.6272/60 | coverage=69.3786%
t=89 h | cells=70 | area=42.4503/60 | coverage=70.7505%
t=90 h | cells=70 | area=43.3479/60 | coverage=72.2465%
t=91 h | cells=70 | area=44.34/60 | coverage=73.9%
t=92 h | cells=70 | area=45.4222/60 | coverage=75.7037%
t=93 h | cells=70 | area=46.5232/60 | coverage=77.5386%
t=94 h | cells=70 | area=47.7032/60 | coverage=79.5053%
t=95 h | cells=70 | area=48.7533/60 | coverage=81.2556%
t=96 h | cells=70 | area=49.6699/60 | coverage=82.7831%
t=97 h | cells=70 | area=50.5707/60 | coverage=84.2846%
t=98 h | cells=70 | area=51.431/60 | coverage=85.7183%
t=99 h | cells=70 | area=52.1975/60 | coverage=86.9959%
t=100 h | cells=70 | area=52.8935/60 | coverage=88.1558%
t=101 h | cells=70 | area=53.5394/60 | coverage=89.2324%
t=102 h | cells=70 | area=54.1447/60 | coverage=90.2412%
t=103 h | cells=70 | area=54.7162/60 | coverage=91.1937%
t=104 h | cells=70 | area=55.26/60 | coverage=92.0999%
t=105 h | cells=70 | area=55.7784/60 | coverage=92.9641%
t=106 h | cells=77 | area=56.2722/60 | coverage=93.787%
t=107 h | cells=77 | area=56.7429/60 | coverage=94.5714%
t=108 h | cells=77 | area=57.1829/60 | coverage=95.3048%
t=109 h | cells=87 | area=57.5945/60 | coverage=95.9909%
